Rol,Caratulado,Fecha Sentencia,Materia,Submateria,Descriptores,Sala,Resultado Recurso,Tipo Recurso,Enlace Sentencia
Rol: 37446-2024,Caratulado: FISCO DE CHILE ./CELULOSA ARAUCO Y CONSTITUCION S A,Fecha sentencia: 03-04-2025,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Decisiones contradictorias, Manifiesta falta de fundamento, Procedimiento administrativo sancionador, Sana crítica, Admisibilidad del recurso de casación en el fondo, Agraviado en el recurso de casación en la forma, Daño ambiental, Argumentos no configuran la causal invocada, Derrame, Hechos establecidos por los jueces del fondo son inamovibles, Falta de acreditación relación de causalidad, Disconformidad con la valoración de la prueba, Muerte de peces, Recurso contra los hechos del proceso, Causales del recurso de casación en la forma","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA RECHAZADA,CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?doasd
Rol: 3762-2024,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE-OFICINA REGIONAL PUERTO MONTT CON NOVA AUSTRAL S.A.*,Fecha sentencia: 13-03-2025,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Resolución que se impugna no participa de la naturaleza jurídica requerida, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Superintendencia de medio ambiente (sma), Naturaleza de interlocutoria que no pone término al procedimiento, Procedimiento no afinado, Reclamación del artículo 17 n° 3 de la ley 20.600, Emitir nuevo pronunciamiento","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dnxq4
Rol: 251034-2023,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE CON NOVA AUSTRAL S.A.*,Fecha sentencia: 13-03-2025,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Admisibilidad del recurso de casación en el fondo, Superintendencia del medio ambiente (sma), Admisibilidad del recurso de casación en la forma, Resolución que se impugna no participa de la naturaleza jurídica requerida, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Naturaleza de interlocutoria que no pone término al procedimiento, Reclamación del artículo 17 n° 3 de la ley 20.600, Emitir nuevo pronunciamiento","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dnxq5
Rol: 248419-2023,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE CON NOVA AUSTRAL S.A.*,Fecha sentencia: 13-03-2025,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Admisibilidad del recurso de casación en el fondo, Superintendencia del medio ambiente (sma), Admisibilidad del recurso de casación en la forma, Resolución que se impugna no participa de la naturaleza jurídica requerida, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Naturaleza de interlocutoria que no pone término al procedimiento, Procedimiento no afinado, Reclamación del artículo 17 n° 3 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dnxq6
Rol: 5462-2025,Caratulado: OCEANA INC./PRIMER TRIBUNAL AMBIENTAL DE ANTOFAGASTA,Fecha sentencia: 11-03-2025,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Admisibilidad del recurso de queja, Excepción de pago, Tribunal Ambiental, Resoluciones susceptibles de recurso de queja, Cumplimiento incidental de la sentencia, Tercero Coadyuvante, Cumplimiento","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?dnxro
Rol: 13497-2024,Caratulado: RUIZ/SUBSECRETARIA MEDIO AMBIENTE,Fecha sentencia: 28-02-2025,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Recurso de reclamación, Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Humedal urbano, Resoluciones susceptibles de casación en el fondo, Resoluciones susceptibles de casación en la forma, Reclamación del artículo 17 n° 11 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dncb4
Rol: 240883-2023,Caratulado: COFRÉ/SERVICIO DE EVALUACIÓN AMBIENTAL,Fecha sentencia: 06-02-2025,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Manifiesta falta de fundamento, Vicio formal, Admisibilidad del recurso de casación en el fondo, Ausencia de error de derecho, Principio de conservación del acto administrativo, Observaciones ciudadanas, Procedimiento de participación ciudadana, Reclamación revisión de RCA del titular o directamente afectado","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE CASACIÓN DE FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dmzk4
Rol: 58297-2024,Caratulado: PULGAR/ALFARO,Fecha sentencia: 04-12-2024,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Admisibilidad del recurso de queja, Resoluciones susceptibles de recurso de queja, Tercero Coadyuvante, Resolución que resuelve sobre modificación de medida cautelar","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?dlbhp
Rol: 241654-2023,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE CON ECOPOWER S.A.C,Fecha sentencia: 04-12-2024,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Invalidación administrativa, Ley de bases de los procedimientos administrativos, Plazo de dos años, Sistema de Evaluación de Impacto Ambiental (SEIA), Presentado dentro de plazo, Reclamación en contra de una invalidación ambiental, Asunto controvertido, Emitir nuevo pronunciamiento","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dlbh5
Rol: 241654-2023,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE CON ECOPOWER S.A.C,Fecha sentencia: 04-12-2024,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Falta de decisión del asunto controvertido, Argumentos no configuran la causal invocada, Plazo de dos años, Sistema de Evaluación de Impacto Ambiental (SEIA), Invalidación de resolución, Error jurídico de los sentenciadores influye en lo dispositivo del fallo, Reclamación en contra de una invalidación ambiental, Plazo para proceder a la invalidación de los actos administrativos, Cómputo del plazo de caducidad, Caducidad de la resolución de calificación ambiental","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FONDO, ANULADA SENTENCIA DE (M)",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dlbhb
